	en	zh
3016	termites eat wood .	白蚁吃木头。
3017	that house is big .	那栋房子很大。
3018	that house is big .	那栋房子很大。
3019	that is his house .	那是他家。
3020	that is your book .	那是你的书。
3021	that isn't french .	那不是法语。
3022	that isn't my job .	这不是我的工作。
3023	that was fabulous .	那真是极好的。
3024	that's a pheasant .	那是一只野鸡。
3025	that's impossible .	这不可能。
3026	that's my problem .	这是我的问题。
3027	that's my problem .	这是我的问题。
3028	that's not french .	那不是法语。
3029	that's not my job .	这不是我的工作。
3030	that's so perfect .	那是完美的。
3031	that's the answer .	那就是答案。
3032	that's very handy .	这很方便。
3033	the bath is ready .	浴缸已经准备好了。
3034	the cat is eating .	这只猫在吃东西。
3035	the clock stopped .	钟停了。
3036	the dog went away .	这只狗跑走了。
3037	the doorbell rang .	门铃儿响了。
3038	the fight is over .	斗争结束了。
3039	the food is ready .	饭做好了。
3040	the lock's broken .	锁坏了。
3041	the man ate bread .	这个男人吃了面包。
3042	the man must work .	男人应该工作。
3043	the market is big .	市场很大。
3044	the meeting ended .	会议结束了。
3045	the pain has gone .	疼痛消失了。
3046	the soup is thick .	汤很稠。
3047	the sun is rising .	太阳升起来了。
3048	the system worked .	系统运行起来了。
3049	the truck is gone .	货车走了。
3050	the worst is over .	最坏的已经过去了。
3051	there is a strike .	有罢工。
3052	there is no water .	没有水。
3053	there was a fight .	那里有人打过架。
3054	they are at lunch .	他们在吃午饭。
3055	they are very big .	他们非常大。
3056	they can't see me .	他们看不见我。
3057	they know nothing .	他们什么都不知道。
3058	they like to sing .	他们都喜欢唱歌。
3059	they were worried .	他们担心。
3060	they'll try again .	他们会再尝试的。
3061	they're in danger .	他们有危险。
3062	this apple is bad .	这个苹果是坏的。
3063	this bed is heavy .	这床很沉。
3064	this book will do .	这本书就行了。
3065	this could be fun .	这可能很好玩。
3066	this desk is mine .	这张书桌是我的。
3067	this is tom's car .	这是汤姆的车。
3068	this is a miracle .	这是一个奇迹。
3069	this is delicious .	很美味。
3070	this is difficult .	这很难。
3071	this is expensive .	这很贵。
3072	this is gibberish .	这是胡说。
3073	this is her house .	这是她的房子。
3074	this is my friend .	这是我的朋友。
3075	this is my friend .	这个是我的朋友。
3076	this is my mother .	这是我的妈妈。
3077	this is my mother .	这是我母亲。
3078	this is my sister .	这是我的妹妹。
3079	this is so boring .	这太无聊了。
3080	this is very good .	这很好。
3081	this is your book .	这是你的书。
3082	this isn't my car .	这不是我的车。
3083	this isn't my key .	这不是我的钥匙。
3084	this makes me sad .	这让我难过。
3085	today is thursday .	今天是星期四。
3086	today is thursday .	今天是礼拜四。
3087	today is my treat .	今天是我请客。
3088	tom became a hero .	汤姆成了英雄。
3089	tom began talking .	汤姆开始说话。
3090	tom began to sing .	汤姆开始唱歌。
3091	tom began to talk .	汤姆开始说话。
3092	tom came in first .	汤姆第一个进来。
3093	tom couldn't swim .	汤姆不会游泳。
3094	tom died recently .	汤姆最近死了。
3095	tom drank heavily .	汤姆喝得很多。
3096	tom drove the car .	汤姆开的车。
3097	tom dyed his hair .	汤姆染发了。
3098	tom gave me a pen .	汤姆给了我一枝笔。
3099	tom had no family .	过去汤姆没有家。
3100	tom has blue eyes .	汤姆的眼睛是蓝色的。
3101	tom has many cats .	汤姆有很多猫。
3102	tom hates spiders .	汤姆恨蜘蛛。
3103	tom heard a shout .	汤姆听到了一声喊叫。
3104	tom heard nothing .	汤姆什么也没听见。
3105	tom helped us all .	汤姆帮了我们。
3106	tom is a bookworm .	汤姆是只书虫。
3107	tom is a good guy .	tom是一个好人。
3108	tom is a magician .	汤姆是魔法师。
3109	tom is a newcomer .	汤姆是新来的。
3110	tom is a true man .	汤姆是个真男人。
3111	tom is happy here .	汤姆在这里很高兴。
3112	tom is my brother .	tom是我哥哥。
3113	tom is overweight .	汤姆超重了。
3114	tom is testing me .	汤姆在试探我。
3115	tom is unbearable .	汤姆令人难以忍受。
3116	tom is very quiet .	汤姆很安静。
3117	tom is your buddy .	汤姆是你的兄弟。
3118	tom isn't foolish .	汤姆不傻。
3119	tom isn't smiling .	汤姆没在笑。
3120	tom isn't unhappy .	汤姆不是不高兴。
3121	tom likes to knit .	汤姆喜欢编织。
3122	tom lit his cigar .	汤姆点了雪茄。
3123	tom lives near me .	汤姆住在我的附近。
3124	tom loves flowers .	汤姆热爱花卉。
3125	tom loves to sing .	汤姆爱唱歌。
3126	tom made a choice .	汤姆做出了选择。
3127	tom made me do it .	是汤姆让我做的。
3128	tom may come back .	汤姆可能会回来。
3129	tom misses boston .	汤姆想念波士顿了。
3130	tom moves quickly .	汤姆动得好快。
3131	tom must be crazy .	汤姆一定疯了。
3132	tom robbed a bank .	汤姆抢了家银行。
3133	tom sent me there .	汤姆送我去了那里。
3134	tom shut his eyes .	汤姆闭上了眼睛。
3135	tom wants popcorn .	汤姆要爆米花。
3136	tom wants to talk .	汤姆想说话。
3137	tom was the worst .	汤姆是最坏的。
3138	tom was very sick .	汤姆很虚弱。
3139	tom wasn't in bed .	汤姆不在床上。
3140	tom went to sleep .	汤姆睡着了。
3141	tom works at home .	汤姆在家工作。
3142	tom's face is red .	汤姆的脸红了。
3143	tom , are you okay ?	汤姆，你还好吧？
3144	try it once again .	再试一次。
3145	turn back , please .	请回来。
3146	turn on the radio .	打开收音机。
3147	two beers , please .	请来两杯啤酒。
3148	use it or lose it .	使用它或失去它。
3149	was tom surprised ?	汤姆吃惊吗？
3150	was that too much ?	那太多了吗？
3151	water is a liquid .	水是液体。
3152	we are classmates .	我们是同学。
3153	we can do nothing .	我们什么都做不了。
3154	we don't think so .	我们不这样认为。
3155	we had no secrets .	我们没有秘密。
3156	we hope tom is ok .	我们希望汤姆没事。
3157	we may never know .	我们可能永远不知道。
3158	we must intervene .	我们必须介入。
3159	we need more food .	我们需要更多食物。
3160	we need your help .	我们需要你的帮忙。
3161	we started at six .	我们六点开始。
3162	we want two taxis .	我们要两辆出租车。
3163	we went to boston .	我们去了波士顿。
3164	we were kids then .	我们那时是孩子。
3165	we won the battle .	我们战争胜利了。
3166	we're against war .	我们反对战争。
3167	we're all at risk .	我们都在冒险。
3168	we're all at risk .	我们都处于危险之中。
3169	we're cooking now .	我们现在在做饭。
3170	we're not looking .	我们没有看著。
3171	we're old friends .	我们是老朋友了。
3172	we've been warned .	我们被警告过了。
3173	were they serious ?	他们是认真的吗？
3174	what can go wrong ?	什么可以出岔子？
3175	what did you hear ?	您听到什么了？
3176	what did you make ?	你做了什么？
3177	what do we do now ?	我们现在怎么办？
3178	what do you think ?	你认为如何 ?
3179	what does it mean ?	这是什么意思？
3180	what is your name ?	你叫什么名字？
3181	what is your name ?	您叫什么名字？
3182	what is your name ?	你的名字叫什么？
3183	what should i buy ?	我要买什么？
3184	what're you after ?	你想要什么？
3185	what're you after ?	你想要什么 ?
3186	what're you doing ?	搞什么啊？
3187	what're you up to ?	你打算做什么？
3188	what's tom saying ?	汤姆在说甚么？
3189	what's causing it ?	是什么原因？
3190	what's for supper ?	我们晚饭吃什么？
3191	what's the matter ?	怎么了？
3192	what's the number ?	电话号码是多少？
3193	what's this smell ?	这是什么气味？
3194	what's your hobby ?	你的爱好是什么？
3195	when do you close ?	你们公司几点下班 ?
3196	when do you study ?	你什么时候读书？
3197	when is breakfast ?	早餐是从几点到几点？
3198	when was it built ?	它是什么什么时候盖的？
3199	when was it built ?	它是什么时候建成的？
3200	when was she born ?	她是什么时候出生的？
3201	where are you now ?	你现在在哪里呢？
3202	where do you live ?	您住在哪里？
3203	where do you work ?	您在哪里工作？
3204	where is tom from ?	汤姆是哪里人？
3205	where is my watch ?	我的手表在哪里？
3206	where is the bank ?	银行在哪里？
3207	where is the book ?	那本书在哪儿？
3208	where is the exit ?	哪里出去？
3209	where is the gate ?	门在哪里？
3210	where is the pain ?	哪里痛？
3211	where is your dog ?	你的狗在哪儿？
3212	where is your dog ?	你的狗在哪里？
3213	where's my father ?	我父亲在哪里？
3214	where's my folder ?	我的文件夹去哪了？
3215	where's the vodka ?	伏特加在哪里？
3216	which tooth hurts ?	哪颗牙痛？
3217	who gave you this ?	这谁给你的？
3218	who invented that ?	那是谁发明的？
3219	who told you that ?	是谁给你说那个的呢？
3220	whose car is this ?	这辆汽车是谁的 ?
3221	whose car is this ?	这台汽车是谁的 ?
3222	whose car is this ?	这是谁的车？
3223	whose cup is this ?	这是谁的杯子？
3224	whose fault is it ?	是谁的错呢？
3225	whose idea was it ?	这是谁的主意？
3226	whose is this car ?	这辆汽车是谁的 ?
3227	whose is this car ?	这台汽车是谁的 ?
3228	why are you alone ?	为什么您一个人？
3229	why are you alone ?	你为什么一个人？
3230	why are you angry ?	你为什么生气？
3231	why are you awake ?	你为什么醒着？
3232	why is snow white ?	为什么雪是白色的呢？
3233	why were you late ?	你为什么迟到？
3234	why would she lie ?	她为甚么要说谎？
3235	will you be there ?	你会在那里吗？
3236	will you marry me ?	你愿意嫁给我吗？
3237	will you use this ?	你要用这东西吗？
3238	yes . that's right .	是的。没错。
3239	you are a bit fat .	你有点胖。
3240	you are a student .	你是学生。
3241	you are a student .	您是学生。
3242	you are in my way .	你挡住了我的路。
3243	you are so stupid .	你真傻。
3244	you can park here .	这里可以停车。
3245	you can't fire us .	你们不能解雇我们。
3246	you can't fire us .	你不能炒了我们。
3247	you can't fire us .	您不能炒了我们。
3248	you can't fire us .	你们不能炒了我们。
3249	you got here fast .	你来得很快。
3250	you have no fever .	你没发烧。
3251	you have to hurry .	您要赶快些。
3252	you have to leave .	你们得走了。
3253	you have to leave .	你得走了。
3254	you know too much .	你知道得太多了。
3255	you made an error .	你犯了个错误。
3256	you made me laugh .	我被你逗乐了。
3257	you make me happy .	你让我快乐。
3258	you may park here .	这里可以停车。
3259	you may take this .	您可以拿着这个 .
3260	you must hurry up .	您要赶快些。
3261	you need to leave .	你必须离开。
3262	you talk too much .	你说太多了。
3263	you won't need it .	你不会需要它。
3264	you work too hard .	你工作太努力了。
3265	you'll find a job .	你会找到工作的。
3266	you're too modest .	你太谦虚了。
3267	you're very alert .	你真是警惕。
3268	you're very smart .	你很聪明。
3269	you've done a lot .	你做了很多。
3270	all of us like her .	我们都喜欢她。
3271	anyone can do that .	任何人都可以做到。
3272	are you a bachelor ?	你是单身吗？
3273	are you a reporter ?	你是记者吗？
3274	are you busy today ?	你今天忙吗？
3275	are you going home ?	你在回家吗？
3276	are you going , too ?	你也要去吗？
3277	are you mad at tom ?	你在生汤姆的气吗？
3278	are you still cold ?	你还冷吗？
3279	are your eyes open ?	你睁著眼吗？
3280	aren't you thirsty ?	你不渴吗？
3281	be careful with it .	当心它。
3282	breakfast is ready .	早饭准备好了。
3283	can i call you tom ?	我可以叫您汤姆吗？
3284	can i call you tom ?	我可以叫你汤姆吗？
3285	can i see that one ?	我能看那个吗？
3286	can i see this one ?	我能看看这个吗？
3287	can i use your pen ?	我可以用你的笔吗？
3288	can we go back now ?	我们现在能回去吗？
3289	can you forgive me ?	可以原谅我吗？
3290	cars are expensive .	车子很贵。
3291	come along with me .	请跟我来。
3292	come along with us .	和我们一起来吧。
3293	come along with us .	跟我们一起来吧。
3294	come in , it's open .	进来，门开着。
3295	come on , try again .	来，再试试看。
3296	did they live here ?	他们从前住这吗？
3297	did you bring them ?	你把它们带来了么？
3298	did you check this ?	你检查这个了吗？
3299	did you murder tom ?	是你杀了汤姆吗？
3300	did you tell on me ?	你告发我了吗？
3301	do i sound in love ?	听起来像是我恋爱了吗？
3302	do you feel hungry ?	你肚子饿吗？
3303	do you have a bike ?	你有自行车吗？
3304	do you like apples ?	你喜欢苹果吗？
3305	do you like flying ?	你喜欢坐飞机吗？
3306	do you like movies ?	你喜欢电影吗？
3307	do you like school ?	你们喜欢学校吗？
3308	do you like school ?	您喜欢学校吗 ?
3309	do you play soccer ?	你踢足球吗 ?
3310	do you remember us ?	你还记得我们吗？
3311	do your gums bleed ?	你的牙龈流血吗？
3312	does it hurt a lot ?	很痛吗 ?
3313	does it please you ?	它令您快乐吗？
3314	does it taste good ?	好吃吗？
3315	don't be terrified .	别被吓坏了。
3316	don't eat too much .	别吃太多。
3317	don't let him down .	别让他失望。
3318	don't make me wait .	别让我等著。
3319	don't make trouble .	别闹事。
3320	don't miss the bus .	不要错过公车。
3321	don't talk rubbish .	别胡说。
3322	don't you think so ?	你不这么认为吗？
3323	everybody did that .	每个人都做了那件事。
3324	everybody is alive .	所有人都是活着的。
3325	everybody will die .	人固有一死。
3326	everyone likes tom .	大家都喜欢汤姆。
3327	everyone should go .	每个人都该走。
3328	everyone was drunk .	所有人都喝醉了。
3329	everyone was happy .	每个人都高兴。
3330	everything matters .	任何事情都是重要。
3331	everything's ready .	一切就绪。
3332	for here , or to go ?	内用还是外带 ?
3333	give me the number .	把那个号码给我。
3334	give me the report .	给我报告。
3335	give me your phone .	给我你的手机。
3336	go get your helmet .	戴上你的安全帽。
3337	hand me the remote .	把遥控器递给我。
3338	has he arrived yet ?	他到了吗 ?
3339	have a good flight .	飞行愉快！
3340	have a nice flight .	飞行愉快！
3341	have you all eaten ?	你们吃饭了吗？
3342	have you been well ?	最近过得好吗？
3343	he arrived in time .	他及时赶到。
3344	he arrived in time .	他准时来了。
3345	he asked after you .	他问候了你。
3346	he called me a cab .	他替我叫了一部计程车。
3347	he can drive a car .	他会开车。
3348	he can't buy a car .	他不能买车。
3349	he can't sing well .	他歌儿唱得不咋地。
3350	he does speak well .	他真的说得很好。
3351	he found me a taxi .	他帮我打到一辆出租车。
3352	he gave him a book .	他给了他一本书。
3353	he got off the bus .	他下了公车。
3354	he has a long neck .	他的脖子很长。
3355	he has no children .	他没有孩子。
3356	he hasn't come yet .	他还没来。
3357	he insured himself .	他给自己投了保险。
3358	he is a bad driver .	他是个糟糕的司机。
3359	he is good at golf .	他高尔夫球打得好。
3360	he is on the radio .	他上电台了。
3361	he is so heartless .	他是这么的无情。
3362	he kicked the ball .	他踢了那颗球。
3363	he killed that man .	他杀死了那个人。
3364	he lay on his back .	他仰躺。
3365	he lied to my face .	他在我面前撒谎 .
3366	he loves traveling .	他爱旅行。
3367	he never said that .	他从来没说过那个。
3368	he raised his hand .	他举起他的手。
3369	he returned at six .	他六点回来了。
3370	he seems to be ill .	他好像病了。
3371	he set a precedent .	他开了先河。
3372	he speaks too fast .	他说话太快了。
3373	he still loves her .	他仍然爱着她。
3374	he stole her watch .	他偷了她的手表。
3375	he took a week off .	他休了一周的假。
3376	he wants affection .	他要爱。
3377	he was alone there .	他独自在那里。
3378	he went by bicycle .	他骑自行车去的。
3379	he went by bicycle .	他骑脚踏车去。
3380	he went by bicycle .	他是骑自行车去的。
3381	he'll be done soon .	他很快就好了。
3382	he'll wait for you .	他会等你。
3383	he's a fast walker .	他走路很快。
3384	he's a good person .	他是个好人。
3385	he's a good person .	他是个好人。
3386	he's a little pale .	他有点苍白。
3387	he's a meth addict .	他是个吸毒男。
3388	he's already a man .	他已经是个男人了。
3389	he's coming closer .	他在靠近。
3390	he's in a bad mood .	他心情不好。
3391	he's my new friend .	他是我新交的朋友。
3392	he's my old friend .	他是我的一位老朋友。
3393	he's my old friend .	他是我的老朋友。
3394	her hair grew back .	她的头发长回来了。
3395	her skin is smooth .	她的皮肤光滑。
3396	her socks are gray .	她的袜子是灰色的。
3397	here are your keys .	把你的钥匙给你。
3398	here is my baggage .	这是我的行李。
3399	hide in the closet .	你藏进柜子里去。
3400	horses are animals .	马是动物。
3401	how did he find us ?	他怎么找到我们的？
3402	how do you like it ?	你觉得怎么样？
3403	how do you like it ?	你认为如何 ?
3404	how does this work ?	这是怎么运行的？
3405	how is the weather ?	天气怎样？
3406	how is your family ?	你家里人都还好吗？
3407	how're you feeling ?	你感觉如何？
3408	i accept the offer .	我接受了报价。
3409	i agree completely .	我完全同意。
3410	i almost never lie .	我几乎从不说谎。
3411	i am a new student .	我是个新生。
3412	i am an only child .	我是独生子。
3413	i am from portugal .	我来自葡萄牙。
3414	i am from shizuoka .	我来自静冈。
3415	i am not a student .	我不是学生。
3416	i am not a teacher .	我不是个老师。
3417	i am six feet tall .	我六英尺高。
3418	i ate french fries .	我吃了炸薯条。
3419	i bathe once a day .	我每天洗一次澡。
3420	i burned the paper .	我烧了纸。
3421	i can eat anything .	我甚么都能吃。
3422	i can help you out .	我能帮你。
3423	i can wait for you .	我可以等你。
3424	i can't believe it !	我没法相信！
3425	i can't drink milk .	我不可以喝牛奶。
3426	i can't drink milk .	我不能喝牛奶。
3427	i can't sleep well .	我睡不好。
3428	i clapped my hands .	我拍手。
3429	i didn't mean that .	我没有那个意思。
3430	i didn't tell them .	我没告诉他们。
3431	i didn't want this .	我不想要这个。
3432	i don't fear death .	我不怕死。
3433	i don't have a car .	我没有汽车。
3434	i don't have a cat .	我没有猫。
3435	i don't have a dog .	我没有狗。
3436	i don't like sushi .	我不喜欢寿司。
3437	i don't sleep well .	我睡不好。
3438	i don't smoke weed .	我不吸大麻。
3439	i don't take drugs .	我不吸毒。
3440	i don't understand .	我不懂。
3441	i don't understand .	不明白。
3442	i dreamt about you .	我梦到你了。
3443	i drive everywhere .	我去哪里都开车。
3444	i expect your help .	我期待你的帮助。
3445	i feel comfortable .	我感觉很舒服。
3446	i feel like a rest .	我想休息一下。
3447	i feel like crying .	我想哭。
3448	i felt comfortable .	我感觉很舒服。
3449	i felt like crying .	我想哭。
3450	i gave mary a book .	我给了玛丽一本书。
3451	i gave you my word .	我和你保证。
3452	i give you my word .	我向你保证。
3453	i had a lot of fun .	我玩得很开心。
3454	i had him write it .	我要他写。
3455	i hate my computer .	我讨厌我的电脑。
3456	i hate my computer .	我恨我的电脑。
3457	i have a flat tire .	我有个轮胎瘪了。
3458	i have few friends .	我朋友很少。
3459	i have lost my cap .	我把帽子弄丢了。
3460	i have lost my cap .	我的帽子丢了。
3461	i have lost my key .	我钥匙丢了。
3462	i have no strength .	我没力气了。
3463	i have to call tom .	我得给汤姆打电话。
3464	i have to paint it .	我必须把它漆上油漆。
3465	i have to say this .	我得说这事。
3466	i heard tom scream .	我听到汤姆尖叫。
3467	i heard him go out .	我听到他出去了。
3468	i hope we find tom .	我希望我们能找到汤姆。
3469	i know her address .	我知道她的地址。
3470	i know the feeling .	我知道那种感觉。
3471	i know the problem .	我知道问题。
3472	i know those girls .	我认识那些女孩。
3473	i know those women .	我认识那些女人。
3474	i know what he did .	我知道他做了。
3475	i know what to say .	我知道要说什么。
3476	i lead a busy life .	我有一个忙碌的生活。
3477	i like candlelight .	我很喜欢烛光。
3478	i like mathematics .	我喜欢数学。
3479	i like mathematics .	我喜欢数学。
3480	i like short poems .	我喜欢短诗。
3481	i like that person .	我喜欢那个人。
3482	i like to eat meat .	我喜欢吃肉。
3483	i like your coffee .	我喜欢你的咖啡。
3484	i like your family .	我喜欢你的家庭。
3485	i looked around me .	我看了看周围。
3486	i lost my umbrella .	我丢了我的伞。
3487	i love korean food .	我爱韩国料理。
3488	i love apple juice .	我爱苹果汁。
3489	i made other plans .	我另有计划。
3490	i met an old woman .	我遇见了一位老妇人。
3491	i miss her so much .	我那么想念她。
3492	i miss my children .	我想念我的孩子。
3493	i miss you so much .	我如此想念你。
3494	i miss you so much .	好想见到你
3495	i missed my chance .	我错过了我的机会。
3496	i need more butter .	我需要更多黄油。
3497	i need your advice .	我需要你的意见。
3498	i never drink beer .	我从不喝啤酒。
3499	i never touch beer .	我从不喝啤酒。
3500	i plan to go there .	我打算去那里。
3501	i saw him run away .	我看见他逃跑了。
3502	i saw what tom did .	我见识到了汤姆的作为。
3503	i saw what tom did .	我看到汤姆做什么了。
3504	i slapped his face .	我掴了他的脸。
3505	i slept on the bus .	我在公交车上睡觉了。
3506	i swim once a week .	我每周游一次泳。
3507	i think he'll come .	我想他会来的吧。
3508	i think he's happy .	我想他很快乐。
3509	i tried not to cry .	我努力忍住哭。
3510	i wake up at eight .	我八点起床。
3511	i walked to school .	我走路到学校。
3512	i want tom to wait .	我想让汤姆等着。
3513	i want this camera .	我要这台相机。
3514	i want to go there .	我想去那里。
3515	i wanted red shoes .	我要红色的鞋子。
3516	i was at home then .	那个时候，我在家。
3517	i was born in 1988 .	我生于1988年。
3518	i was expecting it !	我一直在期待着！
3519	i was nervous , too .	我也紧张。
3520	i was quite hungry .	我很饿。
3521	i was very careful .	我非常小心了。
3522	i was very relaxed .	我很放松。
3523	i watch tv all day .	我一天到晚看电视。
3524	i will go on ahead .	我会继续前进。
3525	i wish i had a car .	但愿我有一辆车。
3526	i wish i were rich .	但愿我很有钱。
3527	i wish you success .	祝你成功。
3528	i'd better go home .	我回家比较好。
3529	i'd like your help .	我想请你们帮个忙。
3530	i'll be seeing you .	我会见到你。
3531	i'll call tom back .	我会叫汤姆回来。
3532	i'll call you back .	我会给你回电话的。
3533	i'll get some help .	我会需要帮助。
3534	i'll have the same .	给我来一份一样的。
3535	i'll just sit here .	我就坐这儿。
3536	i'll keep doing it .	我要一直做下去。
3537	i'll miss you , too .	我也会想你的。
3538	i'll never make it .	我做不到。
3539	i'll ride with tom .	我要和汤姆一起骑车。
3540	i'll see you later .	等会儿见。
3541	i'll think it over .	我会考虑一下。
3542	i'm a little tired .	我有点累。
3543	i'm afraid of dogs .	我怕狗。
3544	i'm always thirsty .	我总觉得渴。
3545	i'm an electrician .	我是一名电工。
3546	i'm as tall as you .	我跟你一样高。
3547	i'm cooking dinner .	我准备晚餐。
3548	i'm from singapore .	我是从新加坡来的。
3549	i'm glad it's over .	我很高兴它结束了。
3550	i'm going downtown .	我进城去。
3551	i'm going to check .	我正要去签到。
3552	i'm good at skiing .	我擅长滑雪。
3553	i'm good at soccer .	我擅长足球。
3554	i'm good at tennis .	我擅长网球。
3555	i'm just beginning .	我才刚开始。
3556	i'm losing my grip .	我失去了控制。
3557	i'm making a movie .	我在制作电影。
3558	i'm not a dictator .	我不是独裁者。
3559	i'm not inflexible .	我不是死板的。
3560	i'm not interested .	我不感兴趣。
3561	i'm not quite well .	我有点不舒服。
3562	i'm on the balcony .	我在阳台上。
3563	i'm ready to leave .	我准备好出发了。
3564	i'm scared of dogs .	我怕狗。
3565	i'm sorry i'm late .	对不起，我来晚了。
3566	i'm too busy to go .	我太忙了不能去。
3567	i've gained weight .	我增加了体重。
3568	i've got to go now .	我现在得走了。
3569	i've gotten better .	我已经变得好多了。
3570	i've lost my watch .	我把我的表丢了。
3571	i've never met her .	我以前从没见过她。
3572	i've never met him .	我从来没有见过他。
3573	ignorance is bliss .	无知就是幸福。
3574	is everybody ready ?	所有人都准备好了吗？
3575	is it large enough ?	这么大的够用吗？
3576	is she your mother ?	她是你妈妈吗 ?
3577	is something wrong ?	有什么不对吗？
3578	is that not enough ?	不够吗？
3579	is there any sugar ?	有没有糖？
3580	is this book yours ?	这是你的书吗？
3581	is this everything ?	这就是全部吗？
3582	is this your apple ?	这是你们的苹果吗？
3583	it came to nothing .	这没有结果。
3584	it is easy to swim .	游泳很简单。
3585	it is raining hard .	雨下得很大。
3586	it is really cheap .	它真的很便宜。
3587	it isn't practical .	这不实用。
3588	it just gets worse .	它变糟了。
3589	it was just a joke .	我这么说只是开个玩笑。
3590	it wasn't my fault .	那不是我的错。
3591	it won't cost much .	它不会太贵的。
3592	it won't take long .	不会花很多时间的。
3593	it's about to rain .	天快要下雨了。
3594	it's foggy outside .	外面起雾了。
3595	it's fun to travel .	旅行是令人快乐的。
3596	it's fun to travel .	旅行是乐事。
3597	it's going to rain .	天快要下雨了。
3598	it's gotten better .	它会好转的。
3599	it's not important .	这个不重要。
3600	it's not important .	这不重要。
3601	it's not practical .	这不实用。
3602	it's pretty simple .	它真简单。
3603	it's raining again !	又下雨了！
3604	it's snowing today .	今天下雪。
3605	it's time to leave .	是时候离开了。
3606	it's time to sleep .	睡觉时间到了。
3607	it's too expensive .	这太贵了。
3608	it's your decision .	这是你的选择。
3609	just let tom speak .	就让汤姆说吧。
3610	keep off the grass .	不要踩草地。
3611	knowledge is power .	知识就是力量。
3612	leave my car alone .	离我的车远一点。
3613	leave my car alone .	不要碰我的车。
3614	leaves are falling .	叶子正在落下来。
3615	let me handle this .	让我来处理。
3616	let me have a look .	让我看看。
3617	let's be realistic .	现实点吧。
3618	let's get divorced .	我们离婚吧。
3619	let's get off here .	我们在这里下车吧。
3620	let's not watch tv .	我们不要看电视吧。
3621	let's take it easy .	让我们放轻松吧。
3622	let's take the bus .	让我们坐公共汽车去。
3623	look at my new car .	看看我的新车。
3624	look at that house .	看那个房子。
3625	look at that smoke .	快看那个烟。
3626	look in the mirror .	照镜子。
3627	look what happened .	看看发生了什么。
3628	love doesn't exist .	爱不存在。
3629	mars has two moons .	火星有两个卫星。
3630	may i open the box ?	我能打开盒子吗 ?
3631	may i pay by check ?	我可以用支票付吗？
3632	may i run with you ?	我可以跟你一起跑吗？
3633	maybe tom did that .	可能是汤姆做的。
3634	maybe you're right .	你可能是对的。
3635	maybe you're right .	也许您有道理。
3636	my car isn't brown .	我的车不是棕的。
3637	my father grew old .	我父亲变老了。
3638	my friend was shot .	我的一位朋友被枪杀。
3639	my hand was burned .	我的手烧伤了。
3640	my legs still hurt .	我的腿还是很痛。
3641	my room faces east .	我的房间面向东边。
3642	my stomach is full .	我的胃是胀满的。
3643	no one can help me .	谁也不能帮我。
3644	no one can help me .	没有人能帮我。
3645	no one will see us .	没有人会看到我们。
3646	nobody can help me .	没有人能帮我。
3647	nobody can stop me !	没人能阻止我！
3648	nobody was injured .	没有人受伤。
3649	nobody watches her .	谁也没在看她。
3650	nothing is missing .	什么也没少。
3651	now it is official .	现在它是官方的了。
3652	now , wait a second .	现在等一下。
3653	obey your teachers .	要听老师的话。
3654	oh ! that's too bad .	哦！那太糟糕了。
3655	people call me tom .	人家叫我汤姆。
3656	please don't shoot .	请不要开枪！
3657	please get dressed .	请穿衣服。
3658	please have a seat .	请坐一下。
3659	please let us know .	请让我们知道。
3660	please sing a song .	请唱一首歌。
3661	please talk to tom .	请跟汤姆谈话。
3662	put the book there .	把书放在那里。
3663	put your guns down .	放下你的枪。
3664	saturn is a planet .	土星是一颗行星。
3665	she almost drowned .	她差点就溺水了。
3666	she has no enemies .	她没有敌人。
3667	she is my daughter .	她是我女儿。
3668	she is pigeon-toed .	她是个内八字。
3669	she is very clever .	她很聪明。
3670	she is very pretty .	她很可爱。
3671	she loves children .	她爱孩子。
3672	she made me a cake .	她为我做了一个蛋糕。
3673	she needs our help .	她需要我们的帮忙。
3674	she put on her hat .	她戴上了她的帽子。
3675	she sat next to me .	她坐在我旁边。
3676	she speaks chinese .	她讲中文。
3677	she was in a hurry .	她在赶时间。
3678	she was making tea .	她正在泡茶。
3679	she will come soon .	她很快就来了。
3680	she won everything .	她赢得一切了。
3681	she's tom's sister .	她是tom的姐妹。
3682	she's tom's sister .	她是tom的姐姐。
3683	she's just a child .	她只是个孩子。
3684	she's my classmate .	她是我的同学。
3685	she's only a child .	她只是个孩子。
3686	show me an example .	给我个例子。
3687	somebody is eating .	有人在吃东西。
3688	somebody's in here .	这里有人
3689	stay here with tom .	留在这和汤姆在一起。
3690	stay off the grass .	不要走在草地上。
3691	stay off the grass .	从草地里出来。
3692	stop joking around .	不要随便开玩笑。
3693	stop joking around .	别开玩笑了。
3694	take off your hats .	把你们的帽子摘下来。
3695	take your hats off .	把你们的帽子摘下来。
3696	tell tom i'm sorry .	告诉汤姆我很抱歉。
3697	tell me what to do .	告诉我该做什么。
3698	that is intriguing .	那真有趣。
3699	that is our school .	那是我们的学校。
3700	that isn't my wife .	这不是我的妻子。
3701	that job paid well .	这份工作工资很高。
3702	that river is long .	那条河流很长。
3703	that was years ago .	那是好几年前。
3704	that's greek to me .	看起来像天书。
3705	that's a good idea !	真是个好主意！
3706	that's a good idea .	那是一个好主意。
3707	that's a good plan .	那是一个很好的计划。
